FIPS,Pred0,Pred1,Pred2,Pred3,80_0,80_1,80_2,80_3,Actual
1001,378.39803602426025,262.32,339.75446,313.0,Apr-15-2022,Dec-20-2021,Mar-07-2022,Feb-09-2022,
1003,385.2759440255904,259.62,343.63574,313.0,Mar-29-2022,Nov-23-2021,Feb-15-2022,Jan-16-2022,
1005,377.5634094414301,214.56,284.70203,201.0,Jan-19-2022,Aug-09-2021,Oct-18-2021,Jul-27-2021,
1007,361.26222604864796,256.9,322.14075,316.0,Jan-04-2022,Sep-21-2021,Nov-26-2021,Nov-20-2021,
1009,395.64830962957643,239.37,368.61844,225.0,Feb-05-2022,Sep-02-2021,Jan-09-2022,Aug-19-2021,
1011,367.6089628459645,264.03,316.00018,313.0,Mar-11-2022,Nov-28-2021,Jan-19-2022,Jan-16-2022,
1013,291.34947252687175,295.49,247.76672,326.0,Nov-22-2021,Nov-26-2021,Oct-09-2021,Dec-27-2021,
1015,302.63378941684505,261.83,266.8563,329.0,Nov-19-2021,Oct-09-2021,Oct-14-2021,Dec-16-2021,
1017,381.0806823951878,265.79,323.81396,298.0,Jan-22-2022,Sep-28-2021,Nov-25-2021,Oct-31-2021,
1019,345.38783625348975,300.84,256.8929,330.0,Jan-23-2022,Dec-09-2021,Oct-26-2021,Jan-08-2022,
1021,408.34003285275196,257.24,356.62955,295.0,May-22-2022,Dec-22-2021,Mar-31-2022,Jan-29-2022,
1023,427.2477799314074,238.14,393.35126,225.0,Mar-15-2022,Sep-07-2021,Feb-09-2022,Aug-25-2021,
1025,425.0579133555051,239.64,383.87155,225.0,Mar-06-2022,Sep-01-2021,Jan-23-2022,Aug-18-2021,
1027,410.8658588716663,242.51,384.66806,225.0,Apr-30-2022,Nov-13-2021,Apr-04-2022,Oct-27-2021,
1029,406.45118189194113,266.43,352.0998,313.0,Apr-21-2022,Dec-02-2021,Feb-26-2022,Jan-18-2022,
1031,410.0172028317764,257.05,357.47122,313.0,Feb-26-2022,Sep-26-2021,Jan-04-2022,Nov-21-2021,
1033,428.03722817621326,239.94,392.8723,225.0,Mar-12-2022,Sep-04-2021,Feb-04-2022,Aug-21-2021,
1035,382.88697051152326,258.07,355.82642,295.0,Jan-25-2022,Sep-23-2021,Dec-29-2021,Oct-30-2021,
1037,432.6176077749665,229.17,281.2805,225.0,Mar-21-2022,Aug-30-2021,Oct-21-2021,Aug-26-2021,
1039,436.1230561962263,237.3,393.14438,225.0,Mar-19-2022,Sep-01-2021,Feb-04-2022,Aug-20-2021,
1041,392.36088100308433,273.52,262.51483,300.0,Mar-24-2022,Nov-25-2021,Nov-14-2021,Dec-22-2021,
1043,425.93800229193636,241.89,367.88147,225.0,Apr-07-2022,Oct-05-2021,Feb-08-2022,Sep-19-2021,
1045,415.38300731101134,240.23,407.7415,225.0,Feb-27-2022,Sep-05-2021,Feb-19-2022,Aug-21-2021,
1047,463.5067984240389,237.1,289.57785,225.0,Apr-27-2022,Sep-13-2021,Nov-04-2021,Sep-01-2021,
1049,432.82911183823603,237.48,410.59338,225.0,May-23-2022,Nov-09-2021,May-01-2022,Oct-28-2021,
1051,420.0868863529258,240.6,392.49277,225.0,Mar-31-2022,Oct-02-2021,Mar-03-2022,Sep-17-2021,
1053,458.5332343675126,242.12,313.94977,225.0,Apr-08-2022,Sep-04-2021,Nov-14-2021,Aug-18-2021,
1055,418.4030405267509,242.35,370.13223,225.0,Mar-09-2022,Sep-14-2021,Jan-20-2022,Aug-28-2021,
1057,417.4258102270361,258.69,359.51703,313.0,Apr-14-2022,Nov-06-2021,Feb-15-2022,Dec-31-2021,
1059,388.5844027988181,261.81,327.86624,314.0,Mar-21-2022,Nov-14-2021,Jan-19-2022,Jan-06-2022,
1061,374.8034858542074,258.31,320.15836,295.0,Jan-08-2022,Sep-14-2021,Nov-15-2021,Oct-21-2021,
1063,344.71777438410305,237.53,287.50702,268.0,Dec-17-2021,Sep-01-2021,Oct-21-2021,Oct-02-2021,
1065,379.7244423084461,244.09,276.5562,316.0,Jan-21-2022,Sep-08-2021,Oct-10-2021,Nov-19-2021,
1067,372.52477386104215,258.88,316.43152,314.0,Feb-06-2022,Oct-15-2021,Dec-12-2021,Dec-10-2021,
1069,350.0989857207847,261.1,307.06647,313.0,Dec-27-2021,Sep-29-2021,Nov-14-2021,Nov-20-2021,
1071,364.2701591789242,263.76,318.15942,298.0,Jan-14-2022,Oct-05-2021,Nov-29-2021,Nov-09-2021,
1073,379.247501953621,262.93,317.93643,316.0,Jan-22-2022,Sep-27-2021,Nov-21-2021,Nov-20-2021,
1075,368.5013865560113,251.76,298.0404,297.0,Mar-13-2022,Nov-16-2021,Jan-02-2022,Jan-01-2022,
1077,279.8054003862581,304.46,246.75604,325.0,Jan-04-2022,Jan-29-2022,Dec-02-2021,Feb-19-2022,
1079,346.2617980579014,302.81,269.1035,287.0,Dec-11-2021,Oct-28-2021,Sep-25-2021,Oct-13-2021,
1081,336.0202737828821,308.76,259.44446,331.0,Dec-14-2021,Nov-16-2021,Sep-28-2021,Dec-09-2021,
1083,325.44907411667793,307.14,267.11865,327.0,Feb-06-2022,Jan-19-2022,Dec-10-2021,Feb-08-2022,
1085,346.2065949760773,262.15,281.58173,268.0,Feb-18-2022,Nov-26-2021,Dec-15-2021,Dec-02-2021,
1087,345.2574500811305,252.93,273.4061,297.0,Dec-31-2021,Sep-29-2021,Oct-20-2021,Nov-13-2021,
1089,346.1077299500448,304.75,258.8012,318.0,Dec-17-2021,Nov-05-2021,Sep-20-2021,Nov-19-2021,
1091,364.8395263586178,264.25,279.20798,268.0,Jan-07-2022,Sep-29-2021,Oct-14-2021,Oct-03-2021,
1093,348.33285517688387,292.73,262.83017,281.0,Dec-21-2021,Oct-26-2021,Sep-26-2021,Oct-15-2021,
1095,363.51457829837915,256.0,292.19507,291.0,Jan-10-2022,Sep-25-2021,Oct-31-2021,Oct-30-2021,
1097,363.37362129375725,256.65,279.06546,315.0,Jan-03-2022,Sep-18-2021,Oct-11-2021,Nov-16-2021,
1099,378.2974737000871,254.83,297.9676,291.0,Jan-21-2022,Sep-19-2021,Nov-01-2021,Oct-26-2021,
1101,378.0095215042355,264.44,300.1859,316.0,Jan-21-2022,Sep-29-2021,Nov-04-2021,Nov-20-2021,
1103,355.8787344193161,253.91,272.09265,268.0,Jan-03-2022,Sep-23-2021,Oct-12-2021,Oct-08-2021,
1105,360.3207897511199,254.37,276.7915,311.0,Jan-01-2022,Sep-17-2021,Oct-09-2021,Nov-13-2021,
1107,323.3502582853638,281.6,253.00597,268.0,Jan-22-2022,Dec-11-2021,Nov-13-2021,Nov-28-2021,
1109,334.7294140233254,277.45,255.75107,269.0,Dec-20-2021,Oct-24-2021,Oct-02-2021,Oct-16-2021,
1111,327.1888356558276,281.61,241.45049,289.0,Dec-06-2021,Oct-21-2021,Sep-11-2021,Oct-29-2021,
1113,368.87528042254786,257.86,292.91443,314.0,Mar-07-2022,Nov-16-2021,Dec-21-2021,Jan-12-2022,
1115,336.0433234211831,260.92,255.03818,268.0,Jan-08-2022,Oct-24-2021,Oct-19-2021,Nov-01-2021,
1117,352.32345225436916,251.76,275.47565,297.0,Dec-25-2021,Sep-15-2021,Oct-09-2021,Oct-31-2021,
